name,review,reviewer_stats,ratings_given,review_like,language,neg,neu,pos,compound,sentiment
Ahmad Sharabiani,"Leviathan, The Matter, Forme Power Common Wealth Ecclesiasticall Civil, Thomas Hobbes Leviathan, book written Thomas Hobbes (1588–1679) published 1651 (revised Latin edition 1668). Its name derives biblical Leviathan. The work concerns structure society legitimate government, regarded one earliest influential examples social contract theory. Leviathan ranks classic Western work statecraft comparable Machiavelli's The Prince. Written English Civil War (1642–1651), Leviathan argues social contract rule absolute sovereign. تاریخ نخستین خوانش: روز دهم ماه آگوست سال2001میلادی عنوان: لویاتان؛ نویسنده: توماس هابز؛ مترجم: حسین بشیریه؛ تهران، نشر نی، سال1380؛ در572ص؛ چاپ دوم سال1381؛ چاپ چهارم سال1385؛ چاپ ششم سال1389؛ چاپ هفتم سال1391؛ چاپ هشتم سال1392؛ چاپ نهم سال1393؛ در576ص؛ شابک9789643125578؛ موضوع: دولت از نویسندگان و فیلسوفان بریتانیا - سده17میلادی فهرست: «یاداشت مترجم (حسین بشیریه)»؛ «مقدمه به قلم سی.بی مکفرسون»؛ «برخی منابع درباره هابز»؛ «یادداشتی درباره متن کتاب لویاتان»؛ «لویاتان به قلم توماس هابز»؛ «نامه تقدیمیه»؛ «فهرست فصول»؛ «مقدمه»؛ «بخش اول در باب انسان»؛ «بخش دوم در باب دولت»؛ «بخش سوم در باب دولت مسیحی»؛ «بخش چهارم در باب مملکت ظلمت»؛ «مرور و نتیجه گیری»؛ لویاتان بزرگ‌ترین، و نخستین اثر فلسفه ی سیاسی، و نخستین شرح فراگیر برای همگان، درباره ی «دولت مدرن»، و ویژگی‌ها، و کارکردهای آن است؛ «هابز» در «لویاتان»، با بهره‌ برداری از نمادهای ابزارگونه و اندام‌وار، دولت را همچون انسانی بدلی، قلمداد می‌کنند، که ممکن است دچار انواع بیماری‌ها شود؛ یکی از دلمشغولیهای «هابز» بازگشایی کالبد دولت، و بیماری‌های آن است؛ «هابز» همچنین، در گشودن چگونگی قدرت، آن را همچون پدیده‌ های سیال و فراگیر می‌دانند، که اساس زندگی اجتماعی را، شکل می‌دهند، و حوزه‌ های گوناگون زندگی، همچون «مالکیت اقتصادی»، «علم و دانش»، «اخلاق»، «قانون» و «حقوق» و ...، همگی در پرتو آن شکل می‌گیرند، و به راستی با قدرت هم‌ گوهر هستند تاریخ بهنگام رسانی 19/04/1400هجری خورشیدی؛ 03/01/1401هجری خورشیدی؛ ا. شربیانی","9,569 reviews
56k followers",Rating 4 out of 5,165 likes,fa,0.022,0.954,0.024,-0.0772,negative
Yasiru,"Since reviewers seem rate work unfairly low disagreements, ignoring importance Leviathan basic power argument Hobbes forwards it, I'll refer couple good, measured reviews history backdrop also found here- Originally I planned adapt essay I wrote university Hobbes Leviathan (with comparisons Locke, Rousseau others) serve review, rather unwieldy less esoteric elaborate points made well succinctly accounts above. Hobbes influential figure political thinking comes might broadly called 'pessimistic philosophy' (contra Leibniz), sense makes excellent, formal treatise-like accompaniment works Voltaire (whose '' especially are, beyond characteristic wit display, also immensely enjoyable; Kafka, certain personal extent Beckett, also commendable reads). He much set modus operandi ruler Arthshastra The Prince attempt do, tries justify power accorded ruler, basically obliterating open concerns statesman might tactically contend Machiavelli. But may Leviathan's contributions, eponymous Leviathan sense absolute monarch superfluous part. Given age, language Leviathan remarkably clear precise, emphatic necessary quite accessible. Hobbes sets arguments almost mathematical proof-like care however, book may require patience. I lecture notes guide I first read important selections, perhaps something nature helpful. I recently found fascinating exercise study thought 'school' (roughly speaking) context modern evolutionary thinking found accessible also rigorous accounts like Richard Dawkins. Of course, science empirical concerns prescribe might inform efficient effective methods achieving aim, pessimists prescriptive- simply caution way dystopia fiction provide constructive commentary utopia does, serve (when done right, manner Orwell instance) elaborate warning tales. It wrong think them, especially Hobbes, social Darwinists. There willful misinterpretation nearly every side modern politics comes philosophers like Hobbes arguments come pedestrian self-help-esque philosophy likes Ayn Rand readings miss outré humour de Sade cloaked appearance erudition thus made less incendiary shamelessly carted out. This propensity far lessened argument Leviathan monarchy easy clamour citing gains blinded made follow complacently term 'democracy', whether true fact not. It perfectly fair say Hobbes, interests relevant personally day, fails give due consideration forms governance one advocates, shortcoming invalidate detract conundrum poses trust within 'state nature', dangers it. The situation akin game theory question what's rational society whole rational individual decision. The implications biology trust-favouring behaviours evolutionarily stable equilibria may come strategies elucidate notions human condition considered alongside basic problem.","197 reviews
115 followers",Rating 5 out of 5,"138 likes
4 comments",en,0.125,0.702,0.172,0.966,positive
Czarny Pies,"Both conclusions methodology ""Leviathan"" shocking modern reader. Writing seventeenth century, Hobbes attacked medieval political philosophy religion. However, unlike enlightenment philosophers base arguments classical authors Greece Rome. Instead made clear considered much wrong medieval scholastics. Thus starting zero, Hobbes developed doctrine every nation commonwealth requires undivided sovereign. To contemporary reader, Hobbes seems arguing would best living totalitarian regime. In Hobbes view men evil wishing instinct dominate exploit fellow men. Hence every commonwealth needs ruled strong sovereign protect members commonwealth other. The sovereign single person, aristocracy democracy. The single person system best allows complete concentration power. For Hobbes king tyrant thing. Thus Greeks Romans classical era wrong praise tyrannicide condemn regicide. Both equally wrong. The crime long parliament executed Charles I, divinely chosen King England, killed sovereign ensured civil war would resume England. Cromwell's great virtue ended war protected English population. The supremet good commonwealth member support sovereign. With goal demonstrating doctrine divine right kings nonsense, Hobbes devotes two four books Leviathan proving religion absurd. He fills pages referring contradictions absurdities Christian bible. He points way properly determine texts belong bible not. Even one believes God, one deal second problem way prove claims claim speak God indeed representatives. Finally, Hobbes points doctrine divine right kings defended Roman Catholic Church basis scripture. Protestants, however, little reason happy Hobbes also demonstrates many doctrines also lack basis scripture. Despite audacity vigour, posterity kind Hobbes. Absolutism totalitarianism dirty words today's society. The political thinkers eighteenth century returned classical theory proposed many authors eloquently Polybius ideal situation power state divided king, aristocracy democratically elected assembly. The problem course easier argue Hobbes fight totalitarianism's instinctive appeal. In times crisis, people tend support strong dictators like Franco, protectors like Cromwell strong men like Putin.","2,412 reviews
1 follower",Rating 5 out of 5,"50 likes
4 comments",en,0.201,0.582,0.216,0.7879,positive
E. G.,"Preface A Scheme Reference Introduction A Note Text Select Bibliography Chronology --Leviathan, The Matter, Forme, & Power Common-Wealth Ecclesiasticall Civill","1,101 reviews
662 followers",Rating 4 out of 5,"41 likes
2 comments",en,0.0,0.945,0.055,0.0258,neutral
امیر لطیفی,هدفِ اصلی کتاب پاسخ به این پرسش است: چرا به دولت نیاز داریم؟ هابز برای انسان حقی را تعریف می‌کند به عنوانِ «حقِ طبیعی». حقِ طبیعی یعنی حقِ حفظِ منافع که می‌تواند منجر به قدرت‌طلبی و تجاوز به حقوقِ دیگران شود. در نتیجه هابز «وضعِ طبیعی» را وضعِ «جنگ همه علیه همه» می‌داند. و از اینجا به لزوم بکارگیریِ «قانونِ طبیعی» می‌رسد تا بتوان به مددِ آن حقوق‌ِ انسان‌ها را حفظ کرد و آن‌ها را مجاب و مجبور کرد که به حقوقِ دیگران تجاوز نکنند. هابز با بسطِ این مفاهیم دولت را نهادی می‌داند که باید همه به نفعِ آن و با هدفِ حفظِ امنیت و حقوق‌شان، بخشی از حقوق‌شان را به آن واگذار کنند. دولتِ ایده‌آل و موفق از نظرِ هابز، دولتی‌ست مقتدر و محق به انجام هر کاری. چرا که اراده‌ی دولت در عمل اراده‌ی اشخاصی‌ست که برخی از حقوقِ خود را به آن واگذار کرده‌اند. و کسی حق ندارد نماینده‌ی محقِ خود را از حقوق‌اش محروم کند. بخش اعظمی از کتاب در مورد دولتِ مسیحی در تقابل با دولتِ ظلمت است. هابز می‌کوشد که ریشه‌های دولت را در مسیحیت جستجو کند. این از جمله بخش‌هایی‌ست که می‌توان آن را روزنامه‌وار خواند. در شروعِ کتاب هابز از انسان و حرکت صحبت می‌کند. حسیات، امیال، خیال، تفکر و همه چیز را براساس نوعی حرکت یا سکون در انسان شرح می‌دهد. لویاتان نامِ موجودی خیالی و ترسناک است، استعاره‌‌ از دولت. به نظرِ هابز انسان‌ها بدون ترس خود را نسبت به هیچ قرارداری متعهد نمی‌دانند. پس دولت باید هر جا لازم باشد با توسل به ترس و زور کارش را پیش ببرد.,"155 reviews
156 followers",Rating 3 out of 5,31 likes,fa,0.0,1.0,0.0,0.0,neutral
David Sarkies,"A Monster Book 12 Oct 2017 Woah, three weeks I finally managed finish behemoth book (which, ironically, Hobbes also wrote book name) I move onto something much lighter. Anyway, time, I younger, I dreaming one day getting married, children, becoming hot shot lawyer (is possible actually two things) I wanted read proposed child (or she) still baby. Mind you, I suggested one Christian friends, proceeded heart attack claiming humanist text similar writings . Mind you, particular person lecturer English Literature Harvard University I still wondering hugely shocked idea. Maybe something wanting read baby. Anyway, apparently book laid foundation political science know today, though I sort scratching head suggestion. First people writing politics since people first tossed unelected kings began argue best way run country, Mind you, particular people, , pretty quickly came conclusion letting mob make rules principle popularity pretty bad idea decided go back drawing board work system smart people actually run country. Mind you, Classics history lecturer told us, problem idea smart people actually much better things running country. Okay, maybe Plato, smart person, would perfect position, seemed end spending time trying teach rulers smart ruler, failing abysmally. As turned out, smart ruler particularly easy thing do, end much easier collect taxes use said taxes build palaces go around beating people like. At least right idea. Hobbs seems follow Plato's opinion, though go far Machiavelli actually telling rulers successful rulers. Rather spends time exploring nature government, instead coming unworkable ideas, basically looks around him, traditions past, come conclusion best form government monarchical government based upon principles scripture. His theory basically God sovereign, God perfect ruler, ergo best form government Christian king. However, I mentioned, book pretty chunky, half deals theological exposition Bible supports monarchy. Well, quite come back point book Samuel Israelites demand king, main reason happens Israelites decided living constitution God laid little hard, seems nations around awful lot fun, live like them. Well, us know Bible know turned out. A little context probably order though. Hobbes wrote book English Civil war, incredibly messy affair. Basically Catholic monarch one side wanting things way, protestant parliament side basically telling bugger mind business. Things got messier, messier, resulted Charles basically head lopped off. Well, particularly solve anything because, much like French revolution, left power vacuum. Well, quite, Oliver Cormwell, turned effective succession plan place, end, Cormwell died, son took over, resultant mess ended asking king come back take over. Hobbes' ideas probably sit well called advanced Democracies days, look landed President United States – Reality TV star. Okay, actor elected President, least Reagan tried true union man (if consider Screen Actors Guild union, serious – is). Mind you, Australia can't comment elected Tony Abbott – misogynist asked felt LGBT community, reply 'they make feel uncomfortable'. Actually, asked comment Australian soldier killed Afghanistan, reply 'shit happens' (I kid not). Well, least say typical Australian response. Mind you, I'm big fan totalitarianism, admit whole democratic experiment, least west, pretty messed up. Well, quite, Germans seemed worked quite well, seem chugging along quite happily. Even British seem reasonably level headed people power (and whatever think Teresa May, least nowhere near bad Tony Abbot, Trumpet matter). Yet, despite Hobbes really applicable times, way is. He looking country complete mess solution go back tried true method – king – certainly better people running around shooting other. Maybe could solve problems asking Angela Merkel come sort us out. Hey, least Norwegians made sure mining companies actually paid minerals took lands – simply let take them. If I walk shop start helping goodies I'd arrested. I guess matra 'jobs, growth, opportunity' gets days.","1,756 reviews
295 followers",Rating 4 out of 5,"27 likes
1 comment",en,0.091,0.697,0.212,0.9975,positive
Alp Turgut,"Türkiye İş Bankası Yayınları’nın ""Thomas Hobbes"" biyografisini okuduktan sonra okuduğum için ünlü düşünürün felsefesini anlamakta zorluk çekmeden okuduğum ""Leviathan"", özellikle ""İnsan Üzerine”"" ""Devlet Üzerine"" olan ilk iki bölümüyle neden okunması gereken felsefi başyapıtlar arasında olduğunu ortaya koyuyor. Özgür irade olmadığının altını çizen Hobbes, iradenin özgür olduğunu vurgularken devlet kurumu olmadan insanların yaratılışları itibariyle kontrol altına alınamadığını etkileyici bir şekilde okuyucuya sunuyor. İnsanların özgürlüklerinden vazgeçmeleriyle ancak barışın huzurun sağlanacağını belirten ""Leviathan"", Platoncu monarşik bir devlet anlayışını desteklerken, Aristotelesçi skolastik felsefeyi ağır bir dille eleştiriyor. Doğal yerine ""devlet"" ""yasa"" gibi yapay oluşumları tercih eden Hobbes’un Tanrı dini kavramları maddesel bir zemine yerleştirerek ""inanç"" kavramında çığır açması da yazarı özel kılan unsurlardan. Yazdıklarıyla yozlaşmış katolik kilisenin otoristesini reddederek bir nevi laik düşüncenin önünü açan ""Leviathan""ın son iki bölümünde ise ne yazık ki ilk iki bölümün etkisini bulmak zor. Yine de okudukça yeni şeyler bulduğunuz eserin “hiç kimsenin kazancına veya keyfine zarar vermeyen gerçekler, herkesçe benimsenir.” son cümlesi bile kitabın önemini ortaya koyuyor. Platon, Aristoteles, Cicero, Farabi, Erasmus, Machiavelli, Frances Bacon Thomas More’dan okunması gerektiğini düşündüğüm ""Leviathan"", gerçekten okunması gereken felsefi eserler arasında. 03.05.2018 İstanbul, Türkiye Alp Turgut","393 reviews
124 followers",Rating 4 out of 5,26 likes,tr,0.0,1.0,0.0,0.0,neutral
Alex MacMillan,"Hobbes’s Leviathan appears draconian Americans ascribe classical liberal values. Their rejection social contract coincides optimistic Lockean faith capabilities moral fortitude necessary negative liberties survive. This naïveté political legitimacy analogous popularity New Testament compared Old because, texts share equal moral instruction, fervently prefer loving forgiving God brutal taskmaster. Hobbesian pessimism human nature cold bucket water tempering enthusiastic assumption free polis demonstrates democratic freedom contingent upon behavior everyone demonstrates. My political science professor’s ad hominem disparagement Hobbes paranoid neurotic troubling, given Hobbes’s support Leviathan absolute sovereignty remains soberly empirical definition power fundamental governmental purpose. Fear death primary motivation surrender political authority. A government's legitimacy therefore necessitates capacity retributive action internal external threats. The power individual group relational behavioral impact exact others. Individual rights liberties independent government remain exception, rule, persons throughout recorded history, past present. How rights outlined John Locke, often take granted, exist all? They depend internal morality individual receives them, depend Enlightenment values held dear everyone around person. I think born blank slates state nature, cynically view moral sentiments vacuous social construct. Reading Hobbes’s brutal state laws nature, however, brought mind inculcations parents, Sunday School instructors Sesame Street screenwriters. Socrates’s description rational portion brain holds back appetitive beast within us, example, emblematic internal Leviathan individual conscience tacitly consents free society possible. The gradual shift favorability towards democracy, Socratic aversion Jeffersonian approval based upon Locke, reflected piecemeal formation internal Leviathans made democracy possible. Plato’s polemical attack Republic democracy ideology suited morally relativistic pigs made sense, given amorality around ignored philosophic truth diffidently sentenced Socrates death. His opposition democracy reflected observable reality Hobbes’s first law nature, namely avaricious Tony Montana attitude commonly held towards individuals groups time. Democracy became viable alternative absolute sovereignty humble prudential values diffused burgeoning bourgeoisie Locke’s time attained widespread acceptance. If hypothetical man state nature self-reliantly rational reasonable rather nasty brutish, entrust freedom without risking security death. The American middle class often derisively mocked University values members hold dear. Their sexual abstention, proudly traditional religiosity, lowly aspirations quiet life monetary gain nuclear family strike many supposed “free spirits” archaic edifice topple. The eternal Hobbesian preeminence security within us, however, makes wiser consider utilitarian importance self-restraint preservation freedom all.","140 reviews
49 followers",Rating 3 out of 5,22 likes,en,0.139,0.642,0.218,0.9873,positive
Laura,"Though considered one influential works political thought, manages tedious frightening – tedious Hobbes’s labored phrasing protracted reasoning, frightening conclusions put play stars like Stalin Pol Pot. In brief, Hobbes argues strong central government headed absolute sovereign. Frankly, I can’t imagine anyone liking Hobbes, take social contract theory supports theoretical groundwork constitutional monarchy instead republicanism. But theories bit intriguingly off. I’d love dinner party Hobbes couple Romantic poets – maybe Wordsworth Coleridge – ask thought Hobbes’s assertion imagination “nothing decaying sense” memory. Maybe throw Yeats well! That would even entertaining soiree Hobbes Jefferson.","132 reviews
542 followers",Rating 2 out of 5,"22 likes
4 comments",en,0.081,0.656,0.263,0.9652,positive
Somayeh Fatemi,_ کسی که به صرف لطف کس دیگری سودی عایدش می‌شود باید چنان عمل کند که شخص بخشنده از عملش که مبتنی بر حسن نیت بوده پشیمان نشود. خلاصه تموم شد . خیلی خوشحالم. خیلی. حتما واسه خودم یه هدیه می‌خرم🤪. و اما کتاب کلی درگیری ذهنی ایجاد کرد واسم. بعضی وقت‌ها در مقابل حرف هاش کم میاوردم. خیلی رُک حقیقتُ می‌کوبه به صورت آدم. و یه جاهایی ام احساس کردم نویسنده داره زیرآبی میره تا حرف حرف خودش بشه! کتاب رو به عنوان یک اثر سیاسی می‌شناسن اما ورق که بزنید رگه هایی از انسان شناسی هم می‌بینید. هابز برای اطمینان از برداشت درست مخاطب در مورد زبان شناسی خودش هم حرف می‌زنه که مقصود و منظور از برخی گفته ها و واژه ها چیه. ۵۰۰ صفحه است اما دوبرابر این نکته داره. باید با صبر و تامل بخونید. عجله نکنید. پیشنهادم اینه از کتاب های کمکی هم استفاده کنید. متن یه جاهایی فهم‌ش خیلی سا��ه می‌شه اما گول نخورید پشت این حرف ها، حرف هایی پنهان هست و واقعا منظور اون چیزی نیست که نوشته شده. کتاب های کمکی من: ۱ راهنمای خواندن لویاتان، جانسون بگبی، مجتبی هاتف ۲ اندیشه هابز، ریچارد تاک، حسین بشیریه ۳ هابز، استفان جی.فین، محمد مصحفی ۴ هابز، جورج مک دانلد راس، مسعود آذر فام ۵ فلسفه هابز، مارشال میسنر، خشایار دیهیمی ۶ توماس هابز و سیاست فلسفه طبیعی، استفان جی.فین، زهرا تدین ۷ هابز و آزادی جمهوری خواهانه کوئنتین اسکینر، هرمز همایون فر و بزودی اضافه میکنم که هر کدوم از این کتاب ها چقدر کمک کرده. _ وای به حال زندگان، وا�� به حال مردگان، خوشا به حال آنکس که نه زنده شد و نه مُرد. _ زندگی صرفا حرکت اندام هاست و سرمنشا حرکت هم عمدتا درونی است. _ عقل و درایت نه حاصل مطالعه کتاب ها بلکه نتیجه مطالعه احوال آدمیان است. _ زمان حال تنها در طبیعت وجود دارد، امور گذشته تنها در خاطره وجود دارند، اما امور آینده اصلا وجود ندارند. آینده تنها توهم ذهن است که توالی اعمال گذشته را بذ زمان حاضر اعمال می‌کند. _ آخرین میل در جریان تامل اراده خوانده می‌شود. اگر بخوام ادامه بدم از هیچ خط کتاب نمی‌تونم بگذرم. پیش به سوی بهیموت,"70 reviews
2 followers",Rating 5 out of 5,21 likes,fa,0.0,1.0,0.0,0.0,neutral
