,username,reviews
0,Doreen Meyer,"

  This book is both profound and beautifully written--so beautifully that it periodically stopped me in my tracks and forced me to go back and re-read paragraphs just for the sheer beauty of the language...and that language is both specific and deeply meaningful.  Not since 'In Search of Lost Time' have I encountered writing which is so gorgeous--it renews the word 'jouissance' to writing, and is a cleansing shower for readers accustomed to either dry exposition or bombastic opinion.  Bobbitt reviews not only 'The Prince' but Machiavelli's the works, puts them in context of time/person/place, and approaches the world of literature written on Machiavelli since them--in fact, he journeys back in time to set the stage for 'The Prince'.  If you want to buy one book this year that is phenomenal: superbly written, massively researched, and written by a man with an encyclopedia knowledge, go for this.

"
1,Henry Cohen,"

  Bobbitt's short and tight argument is that Machiavelli's Prince is really part of a wider project of describing the nature and necessity of a new form of rule, the modern state based on law and popular legitimacy rather than being the extension of the dynastic power or personal prowess of a single individual. This requires the Prince and the Discourses to be read as a single argument for creating large princely states in Italy to redeem her from the incursions of Spain, France and the empire, but with the twist that if princes had to found these new states their laws and civic arrangements had to be republican for them to endure. Bobbitt makes Machiavelli the visionary who made the modern state by imagining it despite the failure of his ideas  in their specific Italian and European historical context ( Bobbitt provides brief summaries, chronologies and bios which are quite helpful). This is an interesting claim, strongly advanced, but one that professional historians and political scientist would likely reject. In fact, like Machiavelli, Bobbitt is lawyer, government official and man of letters. As such, he has rescued Machiavelli from the academy and made him speak to our contemporary concerns.The one jarring note in the book comes at the end when Bobbitt asserts that what the modern state is being superseded by what he call the market state, an idea he has rehearsed elsewhere.With much evidence that the markets are being crushed by governments almost everywhere (see my  ""Broken Markets"" on this site) the market state seems very much a spent idea and not essential to this lively and elegantly written volume.Highly recommended

"
2,kevin l mellyn,"

  This is a great book! Places Machiavelli in context and in a completely different light than how is typically represented in current day references. Turns out he recognized the emergence of the state as a separate political entity long before others, and that he was a very ethical, principled man seeking the greatest good for the citizens of the state. Thought-provoking, excellent read.

"
3,G Ranger,"

  We recently toured Rome and Italy, where we viewed many of the splendors of the Italian Renaissance. Works by Michelangelo, Titian, and Rafael were prominent. The spirit of Leonardo da Vinci loomed in the background. These figures and others like them are considered among the glories of the Italian Renaissance. But perhaps the most important person to emerge from the Italian Renaissance was not a painter, sculptor, or poet. He was a Florentine diplomat sent involuntarily into exile from Florence to a country estate, where he took up his pen and began writing. He drew upon his deep knowledge of ancient history and Florentine history. He drew upon his extensive practical experience from many years as a Florentine diplomat. After his death, one of his works, On Principalities, was published. Immediately, it was subject to mistranslation, misunderstanding, and abridgment. It became known as the Courtier's Koran (and this is not a compliment). Who was this person? Niccolò Machiavelli. His name has become familiar through the centuries since the publication of The Prince (as the title was misleadingly translated into English) as a purveyor of sinister political advice. Almost every major commentator addressing all  the history of political thought has grappled with Machiavelli’s works and wrestled with his legacy. In this book, Philip Bobbitt enters the fray.Philip Bobbitt is a professor of law at Columbia University with continuing ties to his original teaching position at the University of Texas. In addition, he has served in foreign-policy positions under both Republican and Democrat administrations. Finally, and most recently, he has published two major works on law, strategy, and international relations: The Shield of Achilles and War and Consent. Compared to those two books, his foray into the world of Machiavellian studies is brief and succinct. However, Bobbitt has a compelling hypothesis and makes a strong case in favor of his interpretation.Bobbitt argues that The Prince is a short detour from Machiavelli's longer work, the Discourses on Livy, which helped create the intellectual climate that allowed the resurgence of Republicanism in the Western world. Bobbitt argues that The Prince and the Discourses should be read as one book on the state (il stato). Instead of Machiavelli writing a “mirror of princes” work like his predecessors, Machiavelli is attempting something else. In The Prince Machiavelli aims to establish a practical ethics for establishing a state (principality). After the establishment of the state, Machiavelli recommends a transition to a republican form of government. Machiavelli undertakes this intellectual project in the hope that Italy will one day unify into a single state under a republican government, a hope that was not realized until several centuries after his death. In forwarding this argument, Bobbitt does not see Machiavelli as a teacher of evil, but as an astute student of political realities that is willing to weigh the consequences of action and not pay mere lip service to ethical guidelines that don't deal with the reality of those grasping for political power.I found Bobbitt's argument convincing. Most who read Machiavelli have to admit that he has insights into the behavior of those grasping or seeking power (i.e., all of us). His classic query is to whether it is better to be loved or to be hated, a question that has a practical ring to it for personal relations as much as for political rule. Many readers over the centuries have felt that in taking any advice from Machiavelli one was somehow lowering oneself in a dastardly way, but this is not (necessarily) so. Machiavelli tries to establish the guidelines for founding a state (or regime or scheme of power) that can be later transferred into a more stable republic.Bobbitt's argument about Machiavelli makes a lot of sense, but it also leaves many unanswered questions. The review of the book by Garry Wills in the New York Times suggest that Bobbitt’s book tacitly approves of a powerful state that will limit civil liberties and unduly aggrandize the regime. Wills seems to believe that Bobbitt’s argument grants license to the Dick Cheneys of the world to do as they will in protection of the state. I didn't read Bobbitt as making that argument, although I am curious to go back and look more closely at The Shield of Achilles and especially Terror and Consent to learn how Bobbitt draws these lines. Bobbitt does ignore the question of when Machiavelli’s ethics of The Prince should no longer apply. In other words, a newly formed principality, according to Machiavelli and Bobbitt, must work under different set of guidelines than an established republic. However, to what extent can a republic or should a republic revert to the ethics of a principality when under threat? Indeed, history seems littered with examples of political leaders who grasp for power when external forces threaten. The identification of an external threat is the oldest trick in the playbook for extending political power. According to Machiavelli and Bobbitt, how do we sort out the legitimate expediencies that Machiavelli might consider legitimate from those that would prove harmful to a republic? Our own republic has undergone a serious decline in civil liberties under the terrorist threats of the last 20 years, and before that, under the threat of communism. Despite the warnings of people like George Kennan, throughout the Cold War the US too often mimicked our adversaries in paranoia, state security, and limitations on freethinking. The same thing can be happening in the current age, although Al Qaeda and Islamic fundamentalism don’t pose the ideological threat that Marxism once held as an attractive messianic religion.For anyone who is remotely interested in Machiavelli and the world in which he lived and acted, I highly recommend Bobbitt's book. Bobbitt is not a Machiavelli scholar, but he has done his homework and marshaled his arguments in a way that is convincing and appealing. I hope his next book will address the application of Machiavelli and Machiavellian principles in today's world and how we can distinguish between the legitimate uses of power and their easy corruption.

"
4,Stephen N. Greenleaf,"

  International lawyer and historian Philip Bobbitt offers us a fundamental reinterpretation of Niccolo Machiavelli’s “The Prince.” Instead of it being a manual for tyrants “The Prince” is, in fact, an outline for the modern state that was to arise out of the feudal order. Bobbitt calls this new governmental form the “princely state” which he dates from the Treaty of Augsburg of 1555. For the reader not familiar with Bobbitt’s “Shield of Achilles,” his history of governmental order, this book can be rough going.“The Garments of Court and Palace” combines a long book review with a biography of Machiavelli. To him Machiavelli’s priorities were to create a state to enhance the public good and to unify the feudal states of Italy into a unified whole. He puts into perspective one of Machiavelli’s most famous aphorisms, “the ends justify the means.” Taken literally this is a license for extreme actions, but Bobbitt notes that to Machiavelli the means have to be proportionate to the ends. When viewed this way, Machiavelli’s aphorism is a constraint on a ruler rather than a license.Bobbitt has a lengthy discussion on the role of “virtu” and fortune in the affairs of a prince. “Virtu” here is defined as skill and resoluteness and fortune is the role of chance. A prince has to be constantly aware that fortune can overwhelm skill and effort or make a failed policy successful. Flexibility is the key and this also applies to previously entered treaties that no longer serve their original intent. Here I would add the comment of the 20th century political philosopher and baseball executive Branch Rickey who noted the “luck is the residue of design.” In other words a prince has to make his own breaks.Machiavelli understood the feudal world was dying and a new form of governmental organization was required. To him a republic governed by a prince sensitive to the needs of his populace was the wave of the future.Again as I noted above this book can be difficult going, but if the reader wants to get a sense of Machiavelli, his thoughts and the world he would make, it is worth the effort.

"
5,David Shulman,"

  This is an excellent brief study that draws attention to the legal and constitutional aspects of Machiavelli’s thought often overlooked by those who read only with an eye to foreign policy and military strategy.

"
6,Amazon Customer,"

  Great analysis

"
7,eddie,"

  This compact work succeeds in presenting Machiavelli's ""The Prince"" in a new and authoritative light. Bobbitt contends that ""The Prince"" can only be properly understood as part of a larger body work. Along with Machiavelli's ""The Discourses,"" the two form the grand work ""The State."" In ""The State"" Machiavelli contends that feudalism is dying such that central Italy must form a new neoclassical state in order for it protect its people. At the very least Bobbitt presents an original understanding of Machiavelli in this work. After 500 years of study, that alone is a remarkable achievement.

"
8,Agam Bellum,"

  This is an amazing book, that rare thing, adding a new idea to the marketplace of ideas.  It is a little bit of hard slog, but well work the effort.  It gets one to put Machiavelli in his context and gets one to think about modern history from a slightly new angle.

"
9,Susan Wolf,"

  These errors have nothing to do with Machiavelli, but they constitute gratuitous comments that suggest that the author should stick to his areas of expertise.1. ""President Abraham Lincoln ... suspended habeas corpus during the American Civil War--in direct contradiction of a specific provision of the US Constitution. ..."" (p. 55.) Article I, section 9, of the US Constitution states, ""The Privilege of the Writ of Habeas Corpus shall not be suspended, unless when in Cases of Rebellion or Invasion the public Safety may require it."" No historian doubts that the Civil War constituted a case of rebellion in which the public safety may have required the suspension of habeas corpus. The only question is who may suspend habeas corpus: the President or the Congress?  This question has never been settled. Therefore, although one may argue that Lincoln acted unconstitutionally, he did not act ""in direct contradiction of a specific provision of the US Constitution.""2. ""In July 2010 it was reported that 80 per cent of Americans believed that President Kennedy's assassination was the work of a conspiracy, despite the repeated and unequivocal repudiation of this idea by reputable historians."" (p. 217.) The author does not name even one such historian; nor does he state whether any reputable historians take the other side. Rather, he implies falsely that the question has been settled among reputable historians. But what does he even mean by ""reputable historian""? The two best-known books, apart from the Warren Commission report, that advocate that Oswald was the lone assassin were not written by academic historians.  The late Vincent Bugliosi was a lawyer, and Gerald Posner, formerly a lawyer, is a journalist.3. Savonarola's ""burning at the stake.""  (p. 82.) Savonarola was hanged, and his corpse was burned, at least according to his biographers Lauro Martines and Donald Weinstein, as well as Machiavelli scholar Harvey Mansfield, in his WSJ review of Corrado Vivanti's ""Niccolo Machiavelli: An Intellectual Biography."" In Lauro Martines' biography of Savonarola, ""Fire in the City,"" he writes that Savonarola and two other men were ""led up a ladder and hanged, and then all were burned to ashes."" (p. 275)Nevertheless, in his review of Robert Black's ""Machiavelli,"" in TLS (Jan. 31, 2014), Martines refers to ""the burning of Savonarola."" That sounds odd. We do speak of cremating so and so, but, in the context in which Bobbitt, and Martines in TLS, refer to Savonarola's ""burning,"" we'd expect them to speak of burning his corpse, not him. Yet, because Martines knew that Savonarola was hanged and nevertheless spoke of his ""burning,"" perhaps Bobbitt knew that too, and is guilty in this instance of no more than ambiguous writing.Nevertheless, in ""Fire in the City,"" Martines writes that ""the executioner set fire to the great mound of straw and firewood. ... For some moments a wind seemed to turn the flames away from the hanging bodies, but they were soon enveloped."" (p. 276) So it seems that Savonarola's corpse was not removed from the gallows, or whatever Savonarola was hanged from, before it was burned. Therefore, even if we excuse Bobbitt's comment that Savonarola, as opposed to his corpse, was burned, it was not burned at the stake.

"
