,username,review,star_rating,num_star_rating
0,Fergus,people desire good says aristotle yes everything works good good though well says version good politicians inherently different get nerves got different preconceptions see learned teacher plato good naturally human subconscious also ideal us want friendly tip finished browsing latest headlines screaming blue murder political dirty double dealings browse open windows mind let fresh air meet vigorous affable philosopher aristotle jostles polis agora bumping old friends cheerfully waving others distance stopping join buddies friendly talk government latest projects interlocutors may gripe old tired routine aristotle well thought rebuttal naysayers would detailed densely populated paysage moralisé plain optimistic good sense aristotle bless soul always ac cen tu ed positive jauntiness well mannered public ease radiated good health bonhomie good man knew goodness avoided evil also nifty way get us bad moods twin teaching ens potens person acting nicely always potentiality good inside everything changes remind bit power positive thinking maybe great thinker get eternal optimism presence mind know two answers question one simple complex simple answer aristotle constantly meditating good gradually let saturate entire awareness difficult answer old zen koan wit little man goes comes mouth several times day well answer course self private public personas open mouths escape empty public space suddenly political centre stage risk pride anger embarrassment possible collapse little travelling man self aristotle see fully imbuing goodness pure made two separate selves one whole original self well aristotle 2 500 years norman vincent peale even born maybe make big social splash way enemies far practice easily imagine aristotle put lot otherwise wary people ease picture given accustomed think totally beyond us gloomy tendentious old soul must always remain privileged property persnickety professors always fresh summer breeze refreshing callous cynicism sweep dreary snap political judgments right table begin right back beginning level playing field indeed wise positive minded thinkers point us straight narrow road truth like aristotle believed good politicians really exist,it was amazing,5
1,Ahmad Sharabiani,πολιτικά politics aristotlearistotle politics divided eight books divided chapters citations work rest works aristotle first book aristotle discusses city polis likes call political association states city cities like designed created purpose achieving happiness something good book ii examines various views concerning two different kinds virtues two virtues would intellectual moral virtues difference two kinds virtues would moral virtue one learned habit repetition intellectual virtue one taught instructed us virtuous must train act accordingly born potential morally virtuous تاریخ نخستین خوانش سال 1972 میلادی عنوان ارس طو و س ی اس ت نویسنده ارسطو مترجم ح م ی د ع ن ای ت تهران نیل 1337 در 318ص ت ه ران امیر کبیر کتابهای جیبی چاپ دوم 1349 در 381ص چاپ سوم 1358 در 320ص چاپ چهارم 1364 چاپ هفتم 1393 شابک 9789643031107 موضوع مدینه ی فاضله از نویسندگان یونانی سده 4پیش از میلادسیاست عنوان کتابی از ارسطو است این کتاب را می توان در شش بخش شامل هشت کتاب در نظر گرفت بخش اول شامل کتاب اول درباره خانواده بخش دوم شامل کتاب دوم درباره نظرات افلاطون و نقد حکومت های اسپارت و کرت و کارتاژ بخش سوم شامل کتاب سوم درباره قانون اساسی بخش چهارم شامل کتاب های چهارم و پنجم درباره دموکراسی جمهوری و علل انقلاب ها در حکومت ها بخش پنجم شامل کتاب ششم درباره روش تشکیل دموکراسی ها و پایداری آنها بخش ششم شامل کتاب های هفتم و هشتم درباره حکومت کمال مطلوب است در پیش گفتار کتاب سیاست اشاره به ناپیوستگی مطالب آن شده است جناب حمید عنایت این کتاب را همانند کتاب مثنوی معنوی مولانا دانسته چون ارسطو کتاب سیاست را از گفتارهای گوناگونی فراهم کرده و به نظر مترجم قصد او گردآوردن آنها در یک مجموعه نبوده است جناب حمید عنایت در پیش گفتار کتاب سیاست اهمیت آن را در دو مورد می دانند یکی آنکه روح فلسفه پیشرو زمان ارسطو را منعکس می کند و دیگر آنکه سرچشمه ی اصلی اندیشه هایی است که تا پایان سده های میانی بر فلسفه ی سیاسی غرب اثر گذاشته استارسطو اساس خانواده را طبق تقسیم بندی روابط مردم با هم قرار داده و قدرت را عامل اصلی این تقسیم بندی می داند او خواسته را بخشی از خانواده می داند و هنر به دست آوردن خواسته دیگری در خانواده را تدبیر منزل می داند ارسطو فرقی بین روابط قدرت در حکومت و خانواده نمی بیند او هر دو را بر اساس روابط قدرت یکسان بررسی کرده است او کسی را که در یک شهر از احترام و مناصب حکومت بی بهره باشد همچون بیگانه ای می داند که در آن سکونت اختیار کرده است ارسطو داوری چند دادرس را که بر حکومت قانون متفق اند بهتر از داوری یک دادرس می داند او بقای دموکراسی را به کثرت شهروندان وابسته می داند او سعادت را در درست زیستن می داند او کار را در زندگی فقط محدود به ارتباط با دیگران نمی داند او تفکراتی را که برای نفس تفکر و به هدف درست زیستن صورت می گیرند نوعی کار به شمار می آورد ارسطو کسانی را در زمره جمعیت کشور می داند که جزء گسست ناپذیر آن باشند و عظمت کشور را به فزونی شمار اینگونه مردمان وابسته می داند ارسطو زیبایی را از بزرگی و شماره می داند و از نظر او آن کشوری را می توان کاملتر از کشورهای دیگر شمرد که عظمت را با شماره محدود و متعادل جمعیت توام داشته باشد و نیز اندازه ی یک کشور همانند اندازه چیزهای دیگر حدی دارد هرچه بیش از اندازه بزرگ یا کوچک باشد اثر خود را از دست می دهد و در برخی موارد ماهیتش یکسره دگرگون می شود او اداره ی جنگ را بر جمعیت زیاد مردم دشوار می داند از نظر ارسطو قانونگذار باید در پی پروراندن افراد شریف باشد و راه رسیدن به این هدف را بجوید تاریخ بهنگام رسانی 06 05 1399هجری خورشیدی ا شربیانی,really liked it,4
2,Tim,personally find tough sort review classics everything said 2400 year old treatise probably said however like scripture everyone interpretation kinds documents antiquity interpretations like reading culture time one raised society government around well one age previous influential readings life experience previous influences allow horizontal approach interpretation one incorporates many different impressions present document politics aristotle link evolutionary process social political development like plato republic aristotle considers concept justice treatise first must define justice must figure best way enact justice important remember dealing classics looking attempt tie universal tricky word specific place time everyone generally agrees justice right however conditioning various types influence justice looks pen put paper area believe aristotle greatest wisdom descriptions human nature approach justice human nature mind men control passions fail serve interests always prefer come across first men always wanting something never content get infinity ambition avarice exactly motives lead men commit nearly intentional crimes recent dialogue residing east apparent much western philosophy late realization universal truths conflict opposites universal concept moderation necessity goodness universal concept would coincide idea non dualism around thousands years far east aristotle attempts broach topics exterior view example uses analogy perfection nose nose extremely straight extremely symmetrical areas would eventually become extreme even appear nose would morph something else example dualistic thinking extremes anything produce opposite one trying achieve moderation looking sides issue eradicating dogmatic thinking ways avoid extremes modern capitalistic thought grasped onto aristotle ideas distributive justice aristocracy negation downplaying apparent class conflicts justify certain actions aristotle could consider complexities modern times race global economy current belief equality men mix aristotelian thought plato much better grasp class conflict idea state two states rich poor although aristotle acknowledge poverty cause defects democracy adds measures taken ensure permanent level prosperity eloquence describing life interior perhaps part politics struck greatest thought activity much action may even activity action self contained individual may busily active activity god universe self contained life statement coincided well one aristotle mentioned rhetoric states alone fonder become myths seems indicate aristotle may idea even name inherent need god image nature man philosophy defined ancient greeks wisdom therefore universal wisdom encompassing man attempt make sense universals containing many expressions one great challenges living also brought realization looking thing end approaching others knowledge conducive dialogue greater understanding creates better life us,it was amazing,5
3,Erick,despite warnings protests received goodreads friends reading aristotle politics current political situations vice versa attempt review unapologetically obviously well aware aristotle lived 2300 years ago indeed would pretty ignorant reading degree aware fact completed almost whole corpus minus zoological writings eudemian ethics also fully aware societal conditions change subtle subtle ways always amazed though particular tendency people consider anything decades old passé obsolete sure goodreads friends guilty degree naivety remember debating someone american founding fathers whether ideas still relevant current political situations yes someone actually taking position founding father views republic formed relevant today obviously extreme example clueless people comes ideas relationship progress feeling arguing past thinkers held demonstrably different ideas spoke freedom equality rights laws ethics etc etc et al simply playing game equivocation using time accomplice charade know goodreads friends extreme least hope read philosophy one considers ideas shelf life certainly practical uses one time case cognizant warnings friends provided warnings without merit preceding introduction hopefully provided defense following review review also make clear aristotle ideas still relevant certainly willing debate merits benjamin jowett translation taking correct burden proof though person questions jowett translation present greek words english terms consider correct rendering take seriously textual criticisms offer evidence source material substantiation saying someone claimed something aristotle substantiated argument far concerned one provides sources evidence certainly take seriously want first address one issue brought forth comment aristotle plato experience exact kind democracy know today aristotle believed equality equality similars e men certain status accepted citizens sharing similar condition qualified equals equality based humanity alone slaves women children included citizenship greek city states aristotle indeed follow precedent certainly one way democracy changed course changes made relatively recently basing equality human alone element added democratic ideals subsequently one probably note christian ethics largely influence behind innovation however reasons including status e g owning wealth property military service etc questions citizenship aristotle day something going get talk dangers democracy always existed say support ancient greek perspective question clearly matter political system one falls category disenfranchised listed systems would tyrannical case system take account inherent human value questions equality system except equivocal sense one note absolutely question political systems west including america rooted greco roman precedent undeniable ethics morals mention religious ideals rooted judeo christian precedent certainly opinion first wrote topics still something teach us ideas often still applicable read bible believe morals ethics entirely relevant us move away preceding worse society like manner earliest writers political systems inspired still entirely relevant people often much grasp occurred greek city states greeks experimented different forms government topics debated writing lived cannot stress enough political systems referred plato aristotle removing speculative elements added tested humanity changed much 2300 years example mentioned review cicero moral duties socialism communism new idea aristotle aware one potential abuse democracy demagogue promised disenfranchised would take money property wealthy give supported provide quotes obviously even one property necessarily mean ancient democracy one recourse gaining political power aristotle wary kind political abuses possible within democracy believed cicero every person respected property respecting property rights people sure way bring revolution longer problem american republic think guess party harboring socialists respect fundamental human right property know situation aristotle cicero wrote possible even today aristotle mentions one place democracies often descend specific abuses often came form politician scapegoating well exemplified following quote democracy tyrants borrowed art making war upon notables destroying secretly openly exiling rivals stand way power also plots contrived men class either want rule escape subjection applies also wealthy aristotle also makes clear revolutions democracies generally caused intemperance demagogues either private capacity lay information rich men compel combine coming forward public stir people course notable element communist socialist countries modern world risk democracy noted numerous examples democracy would shift oligarchy back eventually descending tyranny aristotle incredibly critical pure democracy majority absolute control minority aristotle calls worst form tyranny pure democracy 51 people absolute control 49 people interestingly enough percentages provided pretty close liberals conservatives respectively taking account moderates like america unsurprisingly many connected american political party takes name democracy often support pure democratic ideals even constitution bill rights open popular vote mitigating control pure democracy aristotle calls constitutional government includes constitutional government heading democracy undoubtedly considered distinct constitutional government would term today constitutional republic technically democracy republic ancient greek sources modern parlance distinct united states indeed aristotle saw best form government exemplified following quote two principles characteristic democracy government majority freedom men think equal equality supremacy popular freedom equality mean man likes democracies every one lives pleases words euripides according fancy wrong men think slavery live according rule constitution salvation aristotle saw balance needed struck law e constitution freedom e democracy losing balance catastrophic following quote make clear oligarchy democracy although departure perfect form may yet good enough government one attempts push principles either extreme begin spoiling government end none laws carried excess one element state ruined constitution ruined aristotle knew full well pure democracies gave way anarchy oligarchy suspicious democracies reason democracies everyone wants equal words george orwell want equal others part problem aristotle political thinkers day develop system would minimize eliminate inequities populace allow role government without sacrificing competent voices less competent voices may appear shocking one keep mind aristotle point view everyone equally competent share government even grant everyone equal far category species goes obviously ancient greek attempt minimize incompetent say government correct one time acknowledge vast percentage population exists society period time competent enough political power people given population knowledgeable enough informed opinion government aristotle greeks probably assumed one gained certain position status indicated competence men seen competent mentally women slaves lacked status education citizens children yet competent prior proper education education seen fundamental aristotle view governmental longevity provide quote aristotle example position things mentioned contributes permanence constitutions adaptation education form government yet day principle universally neglected need appreciate greeks like aristotle concerned rule ignorant populace must acknowledge also condemning attempts controlling unjust method aristotle seems acknowledge even citizens often ignorant tyranny majority happens populace ignorant self seeking make sound political decisions american founding fathers set particular system curb tyranny majority ignorant factions country easily become tribalist disinterested health society whole precursor social unrest civil war e aristotle terms revolution happens instance disenfranchised group gains citizenship every societal benefit comes citizenship development seen adequate optimal outcome others simply good enough may insist need special rights citizens enjoy feel equal make feelings past societal marginalization aristotle says universal chief cause revolutionary feeling mentioned already viz desire equality men think equal others desire inequality superiority conceiving superior think less inferiors pretensions may may inferiors revolt order may equal equals may superior aristotle attributed revolutionary feeling factors need based reality need perceived true play ignorant human tendency cicero also took note tendency people self seeking concerned superiority equality even claiming seeking equality equality attained wise good consider adequate neither wise good consider adequate archaic inapplicable human tendency still much present democracies pure democracy mob rule democracy healthy breeding ground political parties harbor socialists communists anarchists indeed constitution safeguard kinds corrupting influences aristotle also concerned wearing away constitution removing tenets little little time aristotle says revolution may accomplished small degrees mean great change may sometimes slip constitution neglect small matter says relation aristocratic constitutional government doubt would consider effects different democratic constitutional government citizens begin giving part constitution greater ease government change something else little important undermined whole fabric state one certainly find example sort thing country recently long ago president instituted something called patriot act serious breach constitution allowed data collection things compromised rights citizens aristotle aware day tyrants utilized informants infiltrate almost every aspect societal life informants data collectors aristotle day aristotle knew rightly tactics tyrants desirable free society interestingly enough also noted tyrants often attempted keep populace focused things pertinent role government could take form fighting foreign wars infighting groups within society leave reader decide still happens sort thing still relevant today democracies preceding thoughts reading every review simply collection thoughts anything read far believing aristotle wrote irrelevant today indeed feel quite opposite like nicomachean ethics preceding volume politics aristotle believed moderation believed political balance freedom law democracy constitutional government suspicious extremes think astute appraisal politics would well take position regards politics today may much hope considering moderate libertarian reader see adequate defense political moderation hopefully fact new idea position thinkers past may give merit giving book 4 star review book caused reflect quite bit reject aristotle caste system certain people denied citizenship rights also find defense infanticide incredibly abhorrent hardly surprising one considers position value children,really liked it,4
4,J,quite turn away optimistic figure tone nicomachean ethics trying confront state functions creates weird insidious master slave hierarchy expanding encompass children women basically anyone member athenian aristocracy really shocking considering typical greek polis maintained grew power e going war stealing women land gold etc inability fully justify kind hierarchy without resorting knee jerk idea natural order huge problem slavery gender inequality ultimately mandated reinforced well basically says real cop compared tight forward reasoning lot works time one first thinkers recognize fucked oppressive state towards members gets even issues money finance take dominate point questions taken seriously pertaining making dough deeply flawed book deeply flawed though inescapable topic,it was ok,2
5,Aurelia,political philosophy fundamental part legacy ancient greeks questions distribution power public justice order rights duties citizenship efficient use resources national security lay heart tradition civilization unparallel political constitutional creativity diversity legendary lawgivers great political theorists aristotle pushing discussion reach matters still debate today seems essential aristotle political thought talk perfect constitution fact real state one citizens take turns holding power aristotle dismisses states power held one man rest slave like status associates situation non greeks lack spirit slavish especially asians taking turn ruling among citizens backbone state requirements citizenship much complicated matter occupation wealth virtue education citizens parameters one take consideration order address question ideal constitution faithful analytical teleological spirit aristotle discusses aims constitution first place course happy human seeks goes association humans happiness depend solely accidents fortune great beauty individuals natural resources states happiness depend chance waited passively active exercise virtue wisdom practical wisdom particular good constitution one adapted chance throws randomly also fixed set laws used states instead pulls us back ancient greece every state makes constitution adapt social geographical ideological peculiarities also changeable adaptable reforms keep going new configurations course limits certain degree stability aristotle ethics background way ideal constitution middle one favors calls mixed constitution discusses great length advantages limitations systems invented time democracies oligarchies tyrannies monarchies lists reasons stability instability adaptability different levels prosperity nature populations come remedies problems oligarchy must combined elements democracy make stable according aristotle political upheaval result groups people demanding equality think inferior others satisfied equaled others think superior equality justice simple reason people equal aspects justice democracy arithmetic majority believe oligarchy power given property owning individuals decide inequalities seem taking granted aristotle confusing modern reader class struggle marxist sense least aristotle problems admit democracies rule majority lead harassing rich confiscating properties oligarchies men power tend use augment influence thus form power groups aristotle talk democracy way moderns think perfect system bring kind almost divine justice equality seem raise oligarchies tyrannies even monarchies puts much emphasis deviations systems although deemed moderns inherently unjust viable implemented right circumstances,it was amazing,5
6,Jonathan Karmel,politics aristotle theorized perfect world monarchy would benevolent dictatorship aristocracy would rule virtuous democracy would rule people human frailty monarchy actually becomes tyranny aristocracy actually becomes oligarchy pure democracy actually becomes mob rule practical solution form government mixes elements single ruler rule majority rule idea survived evolved eventually english developed system government monarch house lords house commons later system government created united states separation powers among president senate house representatives amazing aristotle wrote book long ago influence world history right present day,liked it,3
7,Paul Haspel,politics intrinsic human life aristotle knew well one famous quotes classic work political philosophy ὁ ἄνθρωπος φύσει πολιτικὸν ζῷον greek phrase often translated man nature political animal though prefer think saying humankind nature political species however translate aristotle words fact remains 2400 years aristotle wrote politics 4th century b c 21st century still comparing societies terms political structures aristotle long citizens care shape nations take aristotle politics remain relevant regular readers aristotle work detect echoes aristotelian texts reading politics instance hear echoes de anima declaration human beings animals souls way aristotle politics follows statement humankind political species declaring obviously man political animal sense bee gregarious animal nature endowed man alone among animals power speech p 60 classically aristotelian declaration contemporary researchers study communication among intelligent fellow animals apes dolphins whales might take issue aristotle claim aristotle like good scientist reasons verifiable replicable evidence available sets forth conclusions knowing someday future scientists challenge findings way young aristotle challenged old teacher plato aristotle follows humankind political species human beings inevitably organize societies organize according sort set rules remainder politics aristotle reviews relations among different groups human beings looks constitutions various greek states time considers different options available trying set state democracy aristocracy oligarchy tyranny stakes high aristotle points state purpose merely provide living make life good p 196 think two options two would rather citizen sweden north korea considering position citizen wide variety states athens carthage crete sparta syracuse good aristotle provides definition citizen ne share ruling ruled far best constitution concerned man able chooses rule ruled view life accordance virtue p 213 aside restrictiveness terms gender aristotle attitude toward women always one weaknesses philosophical system definition citizenship still applicable today first time reader politics may surprised discover aristotle like mentor plato enthusiastic democracy today people around world use terms democracy democratic describe assumed desirable state society one citizen equal rights citizen rights others international organizations like freedom house issue regular reports indicate countries world least free meaning least democratic aristotle contrast think democracy way readers aristotle know always follows principle middle way p 330 form government desired calls polity meaning mix oligarchy democracy p 259 polity gives wealthy well born stake maintaining features society protected high social position time gives numerous members general public sense fair chance ascending highest levels wealth status constitution united states america one sees aristotle influence particularly article sets forth responsibilities congress numerically numerous house representatives 435 strong writing always voted eligible citizens though definition citizen repeatedly expanded various points american history contrast members senate numerically smaller body whose members serve longer terms office power originally selected state legislatures people generally expected represent interests wealthy aristotelian desire create american polity moderate form government would avoid excesses mob rule tyranny also seems nourished creation electoral college body twice last two decades candidate elected president united states losing popular vote half million votes second time three million decide feel english speaking reader politics surprised find comparing constitutions across anglosphere way aristotle compared constitutions across greek speaking world found comparing united states constitution particular features constitutions canada great britain ireland australia new zealand south africa india u constitution came better comparisons well others sometimes politics must read historical context disheartening extreme example see aristotle takes granted existence slavery even freest greek states also assumes enslaved people accept lot yearning freedom wonder pro slavery southern politicians pre civil war era raced quote aristotle defending slavery inside u capitol various statehouses parts politics applicable modern world indeed something aristotle politics everyone members conservative trump administration america first mantra might rejoice aristotle declaration state trading must interest others p 407 hand liberal senators bernie sanders elizabeth warren would doubt agree aristotle statement laws laid education education must made public concern p 453 whatever politics care society future shape society take every person fits description read aristotle politics,it was amazing,5
8,Ana,interesting treatise see interested political theory return,liked it,3
9,Cody,come aristotle really wrote lame book man gonna go read plato republic shake funk mean hey know supposed one world greatest thinkers founder formal logic dude ethics suck jazz talking book everyone needs ruled lack rationality rule need ruled others mean guess ends happening people lack rationality blindly follow groups like republican tea party propaganda corporate controlled media cool slavery bad sadly appears words prophetic us become wage slaves sure city important family turn important individual tottle talks politics like organism instead machine collection parts none exist without others aristotle said city polis laws economic stability pursuing good noble life stated goal perform noble acts political partnership must regarded therefore sake noble actions sake living together different thomas hobbes example said social contract individuals leave state nature fear violent death aristotle think inspired go read something fun,did not like it,1
